file_name,hr_file_size,hr_width,hr_height,wr_file_size,wr_width,wr_height
ach0006_h.jpg,4.3 MB,3600,2700,170.2 KB,500,375
ach0007_h.jpg,2.6 MB,4080,2700,80.5 KB,500,330
ach0008_h.jpg,5.9 MB,3600,2700,131.9 KB,500,375
ach0009_h.jpg,3.8 MB,2700,3600,98.5 KB,375,500
ach0010_h.jpg,4.9 MB,2700,3600,132.0 KB,375,500
ach0011_h.jpg,4.1 MB,3600,2700,108.0 KB,500,375
ach0013_h.jpg,6.8 MB,2823,3601,196.9 KB,391,500
ach0014_h.jpg,5.4 MB,4039,2700,91.5 KB,500,334
ach0015_h.jpg,9.6 MB,3600,2700,206.9 KB,500,375
ach0016_h.jpg,2.6 MB,3600,2700,70.5 KB,500,375
ach0017_h.jpg,2.2 MB,3600,2700,78.1 KB,500,375
ach0018_h.jpg,2.5 MB,3600,2700,85.1 KB,500,375
ach0019_h.jpg,1.0 MB,3600,2700,45.2 KB,500,375
ach0022_h.jpg,6.4 MB,3600,2700,154.2 KB,500,375
ach0024_h.jpg,3.0 MB,2700,3600,122.6 KB,375,500
ach0025_h.jpg,3.1 MB,2700,3600,112.3 KB,375,500
ach0026_h.jpg,23.3 MB,6000,4500,183.7 KB,500,375
ach0027_h.jpg,5.0 MB,4500,6000,78.0 KB,375,500
ach0028_h.jpg,7.9 MB,4500,6000,65.2 KB,375,500
ach0029_h.jpg,13.3 MB,4500,6000,135.4 KB,375,500
ach0030_h.jpg,8.6 MB,6000,4500,109.3 KB,500,375
ach0031_h.jpg,12.6 MB,6000,4500,171.7 KB,500,375
ach0032_h.jpg,17.2 MB,4500,6000,178.4 KB,375,500
ach0033_h.jpg,5.6 MB,4500,6000,120.1 KB,375,500
ach0034_h.jpg,4.7 MB,4500,6000,131.9 KB,375,500
ach0035_h.jpg,17.5 MB,4500,6000,215.3 KB,375,500
ach0036_h.jpg,9.2 MB,4500,6000,144.0 KB,375,500
ach0037_h.jpg,8.0 MB,6000,4500,104.7 KB,500,375
