Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
flag-of-ireland,Flag of Ireland,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0037-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0037_h.jpg?v=1526416043,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-ireland,,,,,,,,Web-Res .jpg,,,,,ZWI0037-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-iraq,Flag of Iraq,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0036-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0036_h.jpg?v=1526416042,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-iraq,,,,,,,,Web-Res .jpg,,,,,ZWI0036-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-iran,Flag of Iran,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0035-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0035_h.jpg?v=1526416040,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-iran,,,,,,,,Web-Res .jpg,,,,,ZWI0035-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-india,Flag of India,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0034-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0034_h.jpg?v=1526416039,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-india,,,,,,,,Web-Res .jpg,,,,,ZWI0034-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-honduras,Flag of Honduras,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0033-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0033_h.jpg?v=1526416038,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-honduras,,,,,,,,Web-Res .jpg,,,,,ZWI0033-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
